attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
Source	Survey from which data originated	categorical				
Station	Identifier for the sampling station	character				
Latitude	Latitude where sample was collected	numeric	degree		NA	Unknown or not measured
Longitude	Longitude where sample was collected	numeric	degree		NA	Unknown or not measured
Field_coords	Do the Latitude and Longitude coordinates represent field-collected coordinates at the time of sample collection?	categorical				
Date	Date sample was collected (America/Los_Angeles timezone)	Date		YYYY-MM-DD		
Datetime	Date and time when sample was collected (America/Los_Angeles timezone)	Date		YYYY-MM-DD hh:mm:ss	NA	Time not recorded
Depth	"Bottom depth at the location the sample was collected. This can be either a depth measured at the time of sample collection or the average water depth for the sampling station, depending on the survey."	numeric	meter		NA	Unknown or not measured
Sample_depth_surface	Depth below surface at which the surface samples were collected	numeric	meter		NA	Unknown or not measured
Sample_depth_nutr_surface	"Depth below surface of the surface nutrient sample. This is only used for the USGS survey, in which nutrients were sometimes collected at a deeper depth than the shallowest water quality samples"	numeric	meter		NA	Unknown or not measured. This is only used for USGS data
Sample_depth_bottom	Depth below surface at which the bottom temperature measurement was taken	numeric	meter		NA	Unknown or not measured
Tide	Tidal stage	categorical			NA	Unknown or not measured
Temperature	Surface water temperature	numeric	celsius		NA	Unknown or not measured
Temperature_bottom	Bottom water temperature	numeric	celsius		NA	Unknown or not measured
Conductivity	Surface specific conductivity	numeric	microSeimenPerCentimeter		NA	Unknown or not measured
Conductivity_bottom	Bottom specific conductivity	numeric	microSeimenPerCentimeter		NA	Unknown or not measured
Salinity	Surface salinity	numeric	dimensionless		NA	Unknown or not measured
Salinity_bottom	Bottom salinity	numeric	dimensionless		NA	Unknown or not measured
Secchi	"Secchi depth (NOTE data are right censored in certain time periods, since in some cases the disk was still visible at the deepest depth to which it could be extended"	numeric	centimeter		NA	Unknown or not measured
Microcystis	Qualitative abundance of the toxic microalga Microcystis	categorical			NA	Unknown or not measured
Chlorophyll	Chlorophyll-a concentration at surface	numeric	microgramsPerLiter		NA	Unknown or not measured
DissolvedOxygen	Dissolved oxygen at surface.	numeric	milligramsPerLiter		NA	Unknown or not measured
DissolvedOxygen_bottom	Dissolved oxygen at bottom.	numeric	milligramsPerLiter		NA	Unknown or not measured
DissolvedOxygenPercent	Dissolved oxygen percent at surface.	numeric	dimensionless		NA	Unknown or not measured
DissolvedOxygenPercent_bottom	Dissolved oxygen percent at bottom.	numeric	dimensionless		NA	Unknown or not measured
pH	pH at surface	numeric	dimensionless		NA	Unknown or not measured
pH_bottom	pH at bottom	numeric	dimensionless		NA	Unknown or not measured
TotAlkalinity	Total Alkalinity	numeric	milligramsPerLiter		NA	Unknown or not measured
TotAmmonia	Total Ammonia	numeric	milligramsPerLiter		NA	Unknown or not measured
DissAmmonia_Sign	Whether the Dissolved Ammonia value is below the reporting limit or equal to it.	categorical			NA	Unknown or not measured
DissAmmonia	"Dissolved Ammonia. For EMP data, if DissAmmonia_Sign is <, this value is equal to the reporting limit. Otherwise this value is the actual measured value."	numeric	milligramsPerLiter		NA	"Unknown or not measured. If the DissAmmonia_Sign value is ""<"", then the reporting limit is unknown and this value is below the reporting limit."
DissBromide	Dissolved bromide	numeric	milligramsPerLiter		NA	Unknown or not measured
DissCalcium	Dissolved calcium	numeric	milligramsPerLiter		NA	Unknown or not measured
TotChloride	Total chloride	numeric	milligramsPerLiter		NA	Unknown or not measured
DissChloride	Dissolved chloride	numeric	milligramsPerLiter		NA	Unknown or not measured
DissNitrateNitrite_Sign	Whether the Dissolved Nitrate Nitrite value is below the reporting limit or equal to it.	categorical			NA	Unknown or not measured
DissNitrateNitrite	"Dissolved Nitrate and Nitrite. For EMP data, if DissNitrateNitrite_Sign is <, this value is equal to the reporting limit. Otherwise this value is the actual measured value."	numeric	milligramsPerLiter		NA	"Unknown or not measured. If the DissNitrateNitrite_Sign value is ""<"", then the reporting limit is unknown and this value is below the reporting limit."
DOC	Dissolved organic carbon	numeric	milligramsPerLiter		NA	Unknown or not measured
TOC	Total organic carbon	numeric	milligramsPerLiter		NA	Unknown or not measured
DON	Dissolved organic nitrogen	numeric	milligramsPerLiter		NA	Unknown or not measured
TON	Total organic nitrogen	numeric	milligramsPerLiter		NA	Unknown or not measured
DissOrthophos_Sign	Whether the Dissolved Orthophos value is below the reporting limit or equal to it.	categorical			NA	Unknown or not measured
DissOrthophos	"Dissolved Ortho-phosphate. For EMP data, if DissOrthophos_Sign is <, this value is equal to the reporting limit. Otherwise this value is the actual measured value."	numeric	milligramsPerLiter		NA	"Unknown or not measured. If the DissOrthophos_Sign value is ""<"", then the reporting limit is unknown and this value is below the reporting limit."
TotPhos	Total phosphorous	numeric	milligramsPerLiter		NA	Unknown or not measured
DissSilica	Dissolved Silica	numeric	milligramsPerLiter		NA	Unknown or not measured
TDS	Total dissolved solids	numeric	milligramsPerLiter		NA	Unknown or not measured
TSS	Total suspended solids	numeric	milligramsPerLiter		NA	Unknown or not measured
VSS	Volatile suspended solids	numeric	milligramsPerLiter		NA	Unknown or not measured
TKN	Total Kjeldahl nitrogen	numeric	milligramsPerLiter		NA	Unknown or not measured
Notes	Any notes recorded during sampling	character			NA	Unknown or not measured
