attributeName	code	definition
Field_coords	FALSE	"Coordinates were not recorded in the field. These coordinates represent the target location (e.g., location of the fixed sampling station)."
Field_coords	TRUE	Coordinates were recorded in the field and represent the exact location the sample was collected
Microcystis	1	absent
Microcystis	2	low
Microcystis	3	medium
Microcystis	4	high
Microcystis	5	very high
Source	20mm	20-mm Survey
Source	Baystudy	San Francisco Bay Study
Source	DJFMP	Delta Juvenile Fish Monitoring Program
Source	EDSM	Enhanced Delta Smelt Monitoring
Source	EMP	Environmental Monitoring Program
Source	FMWT	Fall Midwater Trawl
Source	SKT	Spring Kodiak Trawl
Source	STN	Summer Townet Survey
Source	Suisun	Suisun Marsh Fish Study
Source	USBR	USBR Sacramento Deepwater Shipping Channel Survey
Source	USGS	USGS San Francisco Bay Survey
Tide	Ebb	Ebb tide
Tide	Flood	Flood tide
Tide	High Slack	High Slack tide
Tide	Low Slack	Low Slack tide
