geographicDescription	northBoundingCoordinate	southBoundingCoordinate	eastBoundingCoordinate	westBoundingCoordinate
FMWT 070	38.23331	38.23331	-121.51994	-121.51994
FMWT 071	38.24714	38.24714	-121.51056	-121.51056
FMWT 072	38.18775	38.18775	-121.58057	-121.58057
FMWT 073	38.27433	38.27433	-121.53937	-121.53937
FMWT 101	37.67917	37.67917	-122.3125	-122.3125
FMWT 102	37.69361	37.69361	-122.31306	-122.31306
FMWT 103	37.59028	37.59028	-122.25972	-122.25972
FMWT 104	37.60556	37.60556	-122.28472	-122.28472
FMWT 111	37.75417	37.75417	-122.35083	-122.35083
FMWT 208	37.86528	37.86528	-122.39861	-122.39861
FMWT 209	37.88972	37.88972	-122.42222	-122.42222
FMWT 305	37.9987	37.9987	-122.4086	-122.4086
FMWT 310	38.0297	38.0297	-122.37355	-122.37355
FMWT 207	37.87	37.87	-122.345	-122.345
FMWT 326	38.04038	38.04038	-122.29592	-122.29592
FMWT 329	38.06312	38.06312	-122.30588	-122.30588
FMWT 405	38.03353	38.03353	-122.15815	-122.15815
FMWT 406	38.028	38.028	-122.15057	-122.15057
FMWT 412	38.06462	38.06462	-122.06007	-122.06007
FMWT 323	38.02853	38.02853	-122.32817	-122.32817
FMWT 325	38.05605	38.05605	-122.2955	-122.2955
FMWT 105	37.62444	37.62444	-122.30111	-122.30111
FMWT 106	37.64583	37.64583	-122.31389	-122.31389
FMWT 107	37.66806	37.66806	-122.32611	-122.32611
FMWT 108	37.69167	37.69167	-122.33889	-122.33889
FMWT 109	37.71167	37.71167	-122.33944	-122.33944
FMWT 110	37.73333	37.73333	-122.34528	-122.34528
FMWT 112	37.78583	37.78583	-122.36111	-122.36111
FMWT 113	37.67917	37.67917	-122.35833	-122.35833
FMWT 201	37.81861	37.81861	-122.42139	-122.42139
FMWT 202	37.84722	37.84722	-122.44722	-122.44722
FMWT 203	37.85778	37.85778	-122.46972	-122.46972
FMWT 204	37.83417	37.83417	-122.39639	-122.39639
FMWT 205	37.82778	37.82778	-122.35833	-122.35833
FMWT 206	37.84389	37.84389	-122.34111	-122.34111
FMWT 210	37.92139	37.92139	-122.44	-122.44
FMWT 211	37.94028	37.94028	-122.44583	-122.44583
FMWT 301	37.98031	37.98031	-122.41197	-122.41197
FMWT 302	38.01389	38.01389	-122.375	-122.375
FMWT 303	37.97219	37.97219	-122.425	-122.425
FMWT 304	37.99581	37.99581	-122.436	-122.436
FMWT 306	38.00042	38.00042	-122.41488	-122.41488
FMWT 307	38.00472	38.00472	-122.4192	-122.4192
FMWT 308	38.01745	38.01745	-122.40438	-122.40438
FMWT 309	38.01442	38.01442	-122.39387	-122.39387
FMWT 311	38.02087	38.02087	-122.37743	-122.37743
FMWT 312	38.01189	38.01189	-122.432	-122.432
FMWT 313	38.02219	38.02219	-122.449	-122.449
FMWT 314	38.02812	38.02812	-122.41167	-122.41167
FMWT 315	38.03815	38.03815	-122.3936	-122.3936
FMWT 316	38.06669	38.06669	-122.427	-122.427
FMWT 317	37.99831	37.99831	-122.449	-122.449
FMWT 318	38.05	38.05	-122.431	-122.431
FMWT 319	38.0775	38.0775	-122.432	-122.432
FMWT 320	38.02361	38.02361	-122.305	-122.305
FMWT 321	38.03612	38.03612	-122.36103	-122.36103
FMWT 322	38.02363	38.02363	-122.35078	-122.35078
FMWT 324	38.05281	38.05281	-122.319	-122.319
FMWT 327	38.04772	38.04772	-122.36672	-122.36672
FMWT 328	38.06005	38.06005	-122.34842	-122.34842
FMWT 337	38.0595	38.0595	-122.27232	-122.27232
FMWT 415	38.05678	38.05678	-122.10772	-122.10772
FMWT 416	38.0702	38.0702	-122.09415	-122.09415
FMWT 418	38.09383	38.09383	-122.06973	-122.06973
FMWT 501	38.06167	38.06167	-122.01955	-122.01955
FMWT 330	38.05189	38.05189	-122.414	-122.414
FMWT 331	38.06531	38.06531	-122.394	-122.394
